	OTU	Taxonomy	SampleID	GROUP	Value
47960	OTU1197	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-005|s_?	SMPL24	yes	2
48000	OTU1197	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae UCG-005|s_?	SMPL64	yes	2
48054	OTU1012	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Butyricicoccus|s_?	SMPL6	no	3
48055	OTU1012	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Butyricicoccus|s_?	SMPL7	no	1
48096	OTU1012	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Butyricicoccus|s_?	SMPL48	no	1
48108	OTU1012	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Butyricicoccus|s_?	SMPL59	yes	1
48112	OTU1012	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Butyricicoccus|s_?	SMPL64	yes	4
48143	OTU1012	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Butyricicoccus|s_?	SMPL95	no	1
48167	OTU798	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL7	no	1
48170	OTU798	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL10	no	5
48205	OTU798	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL45	no	2
48208	OTU798	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL48	no	4
48245	OTU798	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL85	no	2
48248	OTU798	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL88	no	1
48264	OTU798	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL103	no	1
48273	OTU510	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia faecis	SMPL1	yes	1
48275	OTU510	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia faecis	SMPL3	yes	5
48278	OTU510	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia faecis	SMPL6	no	2
48320	OTU510	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia faecis	SMPL48	no	1
48362	OTU510	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia faecis	SMPL90	no	18
48367	OTU510	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia faecis	SMPL95	no	1
48368	OTU510	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia faecis	SMPL96	no	2
48369	OTU510	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia faecis	SMPL97	no	3
48376	OTU510	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Roseburia|s_Roseburia faecis	SMPL103	no	1
48444	OTU1278	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae NK4A214 group|s_?	SMPL59	yes	3
48449	OTU1278	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae NK4A214 group|s_?	SMPL65	no	1
48466	OTU1278	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminococcaceae NK4A214 group|s_?	SMPL82	yes	4
48506	OTU588	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminiclostridium 5|s_uncultured organism	SMPL10	no	6
48507	OTU588	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminiclostridium 5|s_uncultured organism	SMPL11	no	6
48516	OTU588	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminiclostridium 5|s_uncultured organism	SMPL20	yes	1
48534	OTU588	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminiclostridium 5|s_uncultured organism	SMPL38	no	1
48546	OTU588	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminiclostridium 5|s_uncultured organism	SMPL50	no	2
48556	OTU588	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminiclostridium 5|s_uncultured organism	SMPL59	yes	5
48560	OTU588	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminiclostridium 5|s_uncultured organism	SMPL64	yes	1
48561	OTU588	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_Ruminiclostridium 5|s_uncultured organism	SMPL65	no	4
48694	OTU581	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_?	SMPL86	no	10
48695	OTU581	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_?	SMPL87	no	10
48709	OTU581	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_?	SMPL100	no	2
48715	OTU581	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_?	SMPL107	no	1
48718	OTU581	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium|s_?	SMPL110	no	3
48819	OTU1573	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Family XI|g_Murdochiella|s_Levyella massiliensis	SMPL99	yes	6
48880	OTU4022	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL48	no	2
48984	OTU2779	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_OTU506|NN=Christensenella_minuta_AB490809|D=83.8	SMPL40	no	3
49092	OTU1035	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Veillonellaceae|g_Allisonella|s_metagenome	SMPL36	no	1
49096	OTU1035	d_Bacteria|p_Firmicutes|c_Negativicutes|o_Selenomonadales|f_Veillonellaceae|g_Allisonella|s_metagenome	SMPL40	no	10
49247	OTU563	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_?	SMPL79	no	27
49275	OTU563	d_Bacteria|p_Firmicutes|c_Bacilli|o_Lactobacillales|f_Lactobacillaceae|g_Lactobacillus|s_?	SMPL107	no	1
49281	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL1	yes	41
49282	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL2	yes	3
49283	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL3	yes	24
49284	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL4	yes	9
49297	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL17	yes	16
49300	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL20	yes	1
49305	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL25	yes	12
49315	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL35	no	177
49316	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL36	no	92
49318	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL38	no	81
49319	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL39	no	9
49320	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL40	no	633
49322	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL42	no	1
49334	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL54	yes	72
49338	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL57	yes	58
49341	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL61	yes	1
49344	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL64	yes	44
49350	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL69	yes	1
49377	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL97	no	44
49378	OTU102	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_Christensenellaceae R-7 group|s_gut metagenome	SMPL98	yes	1
49474	OTU1829	d_Bacteria|p_Synergistetes|c_Synergistia|o_Synergistales|f_Synergistaceae|g_Jonquetella|s_Jonquetella anthropi E3_33 E1	SMPL82	yes	5
49560	OTU508	d_Bacteria|p_?|c_?|o_?|f_?|g_?|s_?	SMPL56	no	5
49561	OTU508	d_Bacteria|p_?|c_?|o_?|f_?|g_?|s_?	SMPL60	no	1
49564	OTU508	d_Bacteria|p_?|c_?|o_?|f_?|g_?|s_?	SMPL59	yes	8
49567	OTU508	d_Bacteria|p_?|c_?|o_?|f_?|g_?|s_?	SMPL63	yes	4
49568	OTU508	d_Bacteria|p_?|c_?|o_?|f_?|g_?|s_?	SMPL64	yes	1
49569	OTU508	d_Bacteria|p_?|c_?|o_?|f_?|g_?|s_?	SMPL65	no	4
49578	OTU508	d_Bacteria|p_?|c_?|o_?|f_?|g_?|s_?	SMPL74	yes	12
49622	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL6	no	2
49627	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL11	no	1
49638	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL22	yes	2
49639	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL23	yes	1
49644	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL28	yes	1
49645	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL29	yes	2
49647	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL31	yes	2
49648	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL32	yes	1
49655	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL39	no	1
49656	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL40	no	1
49657	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL41	no	1
49664	OTU752	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Prevotellaceae|g_Prevotella 2|s_?	SMPL48	no	2
49734	OTU633	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL6	no	1
49754	OTU633	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL26	yes	1
49768	OTU633	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL40	no	16
49789	OTU633	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Bacteroidaceae|g_Bacteroides|s_?	SMPL61	yes	5
49857	OTU562	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_?	SMPL17	yes	1
49859	OTU562	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_?	SMPL19	yes	7
49860	OTU562	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_?	SMPL20	yes	12
49861	OTU562	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_?	SMPL21	yes	1
49900	OTU562	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_?	SMPL59	yes	2
49919	OTU562	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Bifidobacteriales|f_Bifidobacteriaceae|g_Bifidobacterium|s_?	SMPL79	no	5
49954	OTU561	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL2	yes	1
49955	OTU561	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL3	yes	5
49990	OTU561	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL38	no	7
49992	OTU561	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_?|s_?	SMPL40	no	15
50074	OTU557	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL10	no	2
50120	OTU557	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL56	no	1
50124	OTU557	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL59	yes	17
50129	OTU557	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL65	no	2
50133	OTU557	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL71	yes	1
50138	OTU557	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Christensenellaceae|g_?|s_?	SMPL74	yes	5
50233	OTU543	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_metagenome	SMPL60	no	14
50241	OTU543	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_metagenome	SMPL65	no	16
50333	OTU2530	d_Bacteria|p_Bacteroidetes|c_Bacteroidia|o_Bacteroidales|f_Tannerellaceae|g_Parabacteroides|s_?	SMPL45	no	3
50401	OTU1338	d_Bacteria|p_Synergistetes|c_Synergistia|o_Synergistales|f_Synergistaceae|g_Fretibacterium|s_?	SMPL1	yes	1
50465	OTU1338	d_Bacteria|p_Synergistetes|c_Synergistia|o_Synergistales|f_Synergistaceae|g_Fretibacterium|s_?	SMPL65	no	7
50521	OTU1057	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnospiraceae NK4A136 group|s_?	SMPL9	no	1
50524	OTU1057	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnospiraceae NK4A136 group|s_?	SMPL12	no	2
50526	OTU1057	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnospiraceae NK4A136 group|s_?	SMPL14	no	1
50572	OTU1057	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Lachnospiraceae|g_Lachnospiraceae NK4A136 group|s_?	SMPL59	yes	6
50633	OTU3113	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_OTU1524|NN=Anaerofilum_pentosovorans_X97852|D=90.6	SMPL9	no	3
50781	OTU541	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Aureobasidium melanogenum	SMPL45	no	5
50797	OTU541	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Aureobasidium melanogenum	SMPL61	yes	3
50815	OTU541	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Aureobasidium melanogenum	SMPL79	no	21
50836	OTU541	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Propionibacteriales|f_Propionibacteriaceae|g_Cutibacterium|s_Aureobasidium melanogenum	SMPL106	yes	1
50873	OTU3825	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Corynebacteriales|f_Corynebacteriaceae|g_Corynebacterium 1|s_Corynebacterium callunae DSM 20147	SMPL25	yes	2
50979	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL19	yes	1
50981	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL21	yes	1
50982	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL22	yes	2
50985	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL25	yes	2
50988	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL28	yes	1
50992	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL32	yes	1
51000	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL40	no	1
51006	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL46	no	1
51008	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL48	no	1
51010	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL50	no	2
51013	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL53	no	1
51014	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL54	yes	1
51015	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL55	no	1
51017	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL60	no	1
51018	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL57	yes	1
51030	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL69	yes	4
51040	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL80	yes	1
51041	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL81	yes	1
51046	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL86	no	2
51059	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL99	yes	1
51063	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL102	no	2
51071	OTU539	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL111	no	1
51078	OTU537	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL6	no	6
51079	OTU537	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL7	no	4
51082	OTU537	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL10	no	17
51132	OTU537	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL59	yes	1
51160	OTU537	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL88	no	1
51177	OTU537	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL104	no	1
51222	OTU4112	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_?|g_?|s_?	SMPL38	no	2
51375	OTU534	d_Bacteria|p_Actinobacteria|c_Actinobacteria|o_Micrococcales|f_Microbacteriaceae|g_Microbacterium|s_?	SMPL79	no	31
51446	OTU532	d_Bacteria|p_Firmicutes|c_Clostridia|o_Clostridiales|f_Ruminococcaceae|g_?|s_?	SMPL38	no	31
51530	OTU1364	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL10	no	1
51547	OTU1364	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL27	yes	1
51548	OTU1364	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL28	yes	1
51557	OTU1364	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL37	no	1
51561	OTU1364	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL41	no	1
51599	OTU1364	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL79	no	1
51626	OTU1364	d_Bacteria|p_Proteobacteria|c_Deltaproteobacteria|o_Desulfovibrionales|f_Desulfovibrionaceae|g_Desulfovibrio|s_Desulfovibrio sp. X2	SMPL105	no	1
51633	OTU1343	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mollicutes RF39|f_?|g_?|s_?	SMPL1	yes	1
51635	OTU1343	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mollicutes RF39|f_?|g_?|s_?	SMPL3	yes	1
51696	OTU1343	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mollicutes RF39|f_?|g_?|s_?	SMPL64	yes	3
51700	OTU1343	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mollicutes RF39|f_?|g_?|s_?	SMPL68	yes	2
51702	OTU1343	d_Bacteria|p_Tenericutes|c_Mollicutes|o_Mollicutes RF39|f_?|g_?|s_?	SMPL69	yes	1
